x,exp,gauss,sph,matern
69696.9696969697,0.7154307044911028,0.7368740914413372,0.7498387976936293,0.7407458828280837
70707.0707070707,0.7175916250520435,0.7370023866886436,0.7498387976936293,0.7425222132757888
71717.17171717172,0.7196734016014417,0.7371084349437851,0.7498387976936293,0.7442071791323895
72727.27272727272,0.7216789327995609,0.7371958203553649,0.7498387976936293,0.7458053016979003
73737.37373737374,0.7236110111428357,0.7372676029615718,0.7498387976936293,0.747320892920005
74747.47474747474,0.725472326852136,0.7373263852803152,0.7498387976936293,0.7487580638493403
75757.57575757576,0.7272654716186243,0.7373743722850661,0.7498387976936293,0.7501207328701485
76767.67676767676,0.728992942212419,0.7374134250830773,0.7498387976936293,0.7514126336993163
77777.77777777777,0.7306571439590908,0.7374451086675732,0.7498387976936293,0.7526373231488167
78787.87878787878,0.7322603940888319,0.7374707341520179,0.7498387976936293,0.7537981886483116
79797.97979797979,0.7338049249629615,0.7374913959153974,0.7498387976936293,0.7548984555262042
80808.0808080808,0.7352928871822597,0.7375080040951951,0.7498387976936293,0.7559411940487442
81818.18181818181,0.7367263525814582,0.7375213128618004,0.7498387976936293,0.7569293262179362
82828.28282828283,0.7381073171140581,0.7375319448967098,0.7498387976936293,0.757865632329983
83838.38383838383,0.7394377036314901,0.7375404124790299,0.7498387976936293,0.7587527572968413
84848.48484848485,0.7407193645604876,0.7375471355622215,0.7498387976936293,0.7595932167341792
85858.58585858585,0.7419540844824014,0.737552457197256,0.7498387976936293,0.7603894028196342
86868.68686868687,0.743143582618046,0.737556656630651,0.7498387976936293,0.7611435899257728
87878.78787878787,0.7442895152215376,0.7375599603772751,0.7498387976936293,0.7618579400325717
88888.88888888889,0.745393477886459,0.7375625515392218,0.7498387976936293,0.7625345079245796
89898.9898989899,0.7464570077675594,0.7375645776140964,0.7498387976936293,0.7631752461781913
90909.0909090909,0.7474815857210843,0.7375661570092779,0.7498387976936293,0.7637820099446745
91919.19191919192,0.7484686383667171,0.7375673844534343,0.7498387976936293,0.7643565615347463
92929.29292929292,0.749419540073999,0.7375683354730715,0.7498387976936293,0.7649005748106107
93939.39393939394,0.7503356148759994,0.7375690700802828,0.7498387976936293,0.7654156393914325
94949.49494949494,0.7512181383128945,0.7375696357982423,0.7498387976936293,0.7659032646782599
95959.59595959596,0.7520683392080273,0.7375700701333164,0.7498387976936293,0.7663648837044102
96969.69696969696,0.7528874013789172,0.7375704025869158,0.7498387976936293,0.7668018568173076
97979.79797979798,0.7536764652856047,0.7375706562862879,0.7498387976936293,0.7672154751977148
98989.89898989898,0.7544366296186258,0.7375708493012354,0.7498387976936293,0.7676069642222335
